Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area,Status,exact ,trim data,merge data,length,type,sum,average
Male,No,0,Graduate,No,180000,121300,4700000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,4821300,2410650
Male,Yes,0,Graduate,No,240000,0,7500000,360,,Urban,Y,FALSE,Graduate,Male  Graduate,14,,7500000,3750000
Male,Yes,0,Graduate,No,394100,233600,13400000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,13633600,6816800
Male,Yes,0,Not Graduate,Yes,469500,0,9600000,,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,9600000,4800000
Female,No,0,Graduate,No,341000,0,8800000,,1,Urban,Y,FALSE,Graduate,Female  Graduate,16,,8800000,4400000
Male,Yes,1,Graduate,No,564900,0,4400000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,4400000,2200000
Male,Yes,0,Graduate,No,582100,0,14400000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,14400000,7200000
Female,Yes,0,Graduate,No,264500,344000,12000000,360,0,Urban,N,FALSE,Graduate,Female  Graduate,16,,12344000,6172000
Female,No,0,Graduate,No,400000,227500,14400000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,14627500,7313750
Female,Yes,0,Not Graduate,No,192800,164400,10000000,360,1,Semiurban,Y,FALSE,Not Graduate,Female  Not Graduate,20,,10164400,5082200
Female,No,0,Graduate,No,308600,0,12000000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,12000000,6000000
Female,No,0,Graduate,No,423000,0,11200000,360,1,Semiurban,N,FALSE,Graduate,Female  Graduate,16,,11200000,5600000
Male,Yes,2,Graduate,No,461600,0,13400000,360,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,13400000,6700000
Female,Yes,1,Graduate,Yes,1150000,0,28600000,360,0,Urban,N,FALSE,Graduate,Female  Graduate,16,,28600000,14300000
Male,Yes,2,Graduate,No,270800,116700,9700000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,9816700,4908350
Male,Yes,0,Graduate,No,213200,159100,9600000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,9759100,4879550
Male,Yes,0,Graduate,No,336600,220000,13500000,360,1,Rural,N,FALSE,Graduate,Male  Graduate,14,,13720000,6860000
Male,Yes,1,Graduate,No,808000,225000,18000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,18225000,9112500
Male,Yes,2,Not Graduate,No,335700,285900,14400000,360,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,14685900,7342950
Male,Yes,0,Graduate,No,250000,379600,12000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,12379600,6189800
Male,Yes,3+,Graduate,No,302900,0,9900000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,9900000,4950000
Male,Yes,0,Not Graduate,Yes,260900,344900,16500000,180,0,Rural,N,FALSE,Not Graduate,Male  Not Graduate,18,,16844900,8422450
Male,Yes,1,Graduate,No,494500,0,0,360,0,Rural,N,TRUE,Graduate,Male  Graduate,14,,0,0
Female,No,0,Graduate,No,416600,0,11600000,360,0,Semiurban,N,FALSE,Graduate,Female  Graduate,16,,11600000,5800000
Male,Yes,0,Graduate,No,572600,459500,25800000,360,1,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,26259500,13129750
Male,No,0,Not Graduate,No,320000,225400,12600000,180,0,Urban,N,FALSE,Not Graduate,Male  Not Graduate,18,,12825400,6412700
Male,Yes,1,Graduate,No,1075000,0,31200000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,31200000,15600000
Male,Yes,3+,Not Graduate,Yes,710000,0,12500000,60,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,12500000,6250000
Female,No,0,Graduate,No,430000,0,13600000,360,0,Semiurban,N,FALSE,Graduate,Female  Graduate,16,,13600000,6800000
Male,Yes,0,Graduate,No,320800,306600,17200000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,17506600,8753300
Male,Yes,2,Not Graduate,Yes,187500,187500,9700000,360,1,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,9887500,4943750
Male,No,0,Graduate,No,350000,0,8100000,300,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,8100000,4050000
Male,Yes,3+,Not Graduate,No,475500,0,9500000,,0,Semiurban,N,FALSE,Not Graduate,Male  Not Graduate,18,,9500000,4750000
Male,Yes,3+,Graduate,Yes,526600,177400,18700000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,18877400,9438700
Male,No,0,Graduate,No,375000,0,11300000,480,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,11300000,5650000
Male,No,0,Graduate,No,375000,475000,17600000,360,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,18075000,9037500
Male,Yes,1,Graduate,Yes,100000,302200,11000000,360,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,11302200,5651100
Male,Yes,3+,Graduate,No,316700,400000,18000000,300,0,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,18400000,9200000
Male,Yes,3+,Not Graduate,Yes,333300,216600,13000000,360,,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,13216600,6608300
Female,No,0,Graduate,No,384600,0,11100000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,11100000,5550000
Male,Yes,1,Graduate,Yes,239500,0,0,360,1,Semiurban,Y,TRUE,Graduate,Male  Graduate,14,,0,0
Female,Yes,2,Graduate,No,137800,188100,16700000,360,1,Urban,N,FALSE,Graduate,Female  Graduate,16,,16888100,8444050
Male,Yes,0,Graduate,No,600000,225000,26500000,360,,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,26725000,13362500
Male,Yes,1,Graduate,No,398800,0,5000000,240,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,5000000,2500000
Male,No,0,Graduate,No,236600,253100,13600000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,13853100,6926550
Male,Yes,2,Not Graduate,No,333300,200000,9900000,360,,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,10100000,5050000
Male,Yes,0,Graduate,No,250000,211800,10400000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,10611800,5305900
Male,No,0,Graduate,No,856600,0,21000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,21000000,10500000
Male,Yes,0,Graduate,No,569500,416700,17500000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,17916700,8958350
Male,Yes,0,Graduate,No,295800,290000,13100000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,13390000,6695000
Male,Yes,2,Graduate,No,625000,565400,18800000,180,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,19365400,9682700
Male,Yes,2,Not Graduate,No,327300,182000,8100000,360,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,8282000,4141000
Male,No,0,Graduate,No,413300,0,12200000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,12200000,6100000
Male,No,0,Not Graduate,No,362000,0,2500000,120,1,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,2500000,1250000
Male,No,0,Graduate,,678200,0,0,360,,Urban,N,TRUE,Graduate,Male  Graduate,14,,0,0
Female,Yes,0,Graduate,No,248400,230200,13700000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,13930200,6965100
Male,Yes,0,Graduate,No,197700,99700,5000000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,5099700,2549850
Male,Yes,0,Not Graduate,No,418800,0,11500000,180,1,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,11500000,5750000
Male,Yes,0,Graduate,No,175900,354100,13100000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,13454100,6727050
Male,Yes,2,Not Graduate,No,428800,326300,13300000,180,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,13626300,6813150
Male,No,0,Graduate,No,484300,380600,15100000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,15480600,7740300
Male,Yes,,Graduate,No,1365000,0,0,360,1,Urban,Y,TRUE,Graduate,Male  Graduate,14,,0,0
Male,Yes,0,Graduate,No,465200,358300,0,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,358300,179150
Male,,,Graduate,No,381600,75400,16000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,16075400,8037700
Male,Yes,1,Graduate,No,305200,103000,10000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,10103000,5051500
Male,Yes,2,Graduate,No,1141700,112600,22500000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,22612600,11306300
Male,No,0,Not Graduate,,733300,0,12000000,360,1,Rural,N,FALSE,Not Graduate,Male  Not Graduate,18,,12000000,6000000
Male,Yes,2,Graduate,No,380000,360000,21600000,360,0,Urban,N,FALSE,Graduate,Male  Graduate,14,,21960000,10980000
Male,Yes,3+,Not Graduate,No,207100,75400,9400000,480,1,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,9475400,4737700
Male,No,0,Graduate,No,531600,0,13600000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,13600000,6800000
Female,Yes,0,Graduate,,292900,233300,13900000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,14133300,7066650
Male,Yes,0,Not Graduate,No,357200,411400,15200000,,0,Rural,N,FALSE,Not Graduate,Male  Not Graduate,18,,15611400,7805700
Female,No,1,Graduate,Yes,745100,0,0,360,1,Semiurban,Y,TRUE,Graduate,Female  Graduate,16,,0,0
Male,No,0,Graduate,,505000,0,11800000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,11800000,5900000
Male,Yes,1,Graduate,No,1458300,0,18500000,180,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,18500000,9250000
Female,Yes,0,Graduate,No,316700,228300,15400000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,15628300,7814150
Male,Yes,1,Graduate,No,221400,139800,8500000,360,,Urban,Y,FALSE,Graduate,Male  Graduate,14,,8639800,4319900
Male,Yes,0,Graduate,No,556800,214200,17500000,360,1,Rural,N,FALSE,Graduate,Male  Graduate,14,,17714200,8857100
Female,No,0,Graduate,No,1040800,0,25900000,360,1,Urban,Y,FALSE,Graduate,Female  Graduate,16,,25900000,12950000
Male,Yes,,Graduate,No,566700,266700,18000000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,18266700,9133350
Female,No,0,Graduate,No,416600,0,4400000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,4400000,2200000
Female,No,0,Graduate,No,213700,898000,13700000,360,0,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,14598000,7299000
Male,Yes,2,Graduate,No,295700,0,8100000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,8100000,4050000
Male,Yes,0,Not Graduate,No,430000,201400,19400000,360,1,Rural,Y,FALSE,Not Graduate,Male  Not Graduate,18,,19601400,9800700
Female,No,0,Graduate,No,369200,0,9300000,360,,Rural,Y,FALSE,Graduate,Female  Graduate,16,,9300000,4650000
,Yes,3+,Graduate,No,2380300,0,37000000,360,1,Rural,Y,FALSE,Graduate,  Graduate,10,,37000000,18500000
Male,No,0,Graduate,No,386500,164000,0,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,164000,82000
Male,Yes,1,Graduate,Yes,1051300,385000,16000000,180,0,Urban,N,FALSE,Graduate,Male  Graduate,14,,16385000,8192500
Male,Yes,0,Graduate,No,608000,256900,18200000,360,,Rural,N,FALSE,Graduate,Male  Graduate,14,,18456900,9228450
Male,No,0,Graduate,Yes,2016600,0,65000000,480,,Urban,Y,FALSE,Graduate,Male  Graduate,14,,65000000,32500000
Male,No,0,Graduate,No,201400,192900,7400000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,7592900,3796450
Male,No,0,Graduate,No,271800,0,7000000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,7000000,3500000
Male,Yes,0,Graduate,Yes,345900,0,2500000,120,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,2500000,1250000
Male,No,0,Graduate,No,489500,0,10200000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,10200000,5100000
Male,Yes,3+,Graduate,No,400000,775000,29000000,360,1,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,29775000,14887500
Female,Yes,0,Graduate,No,458300,0,8400000,360,1,Rural,N,FALSE,Graduate,Female  Graduate,16,,8400000,4200000
Male,Yes,2,Graduate,Yes,331600,350000,8800000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,9150000,4575000
Male,No,0,Graduate,No,1499900,0,24200000,360,0,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,24200000,12100000
Male,Yes,2,Not Graduate,No,420000,143000,12900000,360,1,Rural,N,FALSE,Not Graduate,Male  Not Graduate,18,,13043000,6521500
Male,Yes,2,Graduate,No,504200,208300,18500000,360,1,Rural,N,FALSE,Graduate,Male  Graduate,14,,18708300,9354150
Male,No,0,Graduate,No,541700,0,16800000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,16800000,8400000
Male,No,0,Graduate,Yes,695000,0,17500000,180,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,17500000,8750000
Male,Yes,0,Graduate,No,269800,203400,12200000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,12403400,6201700
Male,Yes,2,Graduate,No,1175700,0,18700000,180,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,18700000,9350000
Female,Yes,0,Graduate,No,233000,448600,10000000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,10448600,5224300
Female,Yes,2,Graduate,No,1486600,0,7000000,360,1,Urban,Y,FALSE,Graduate,Female  Graduate,16,,7000000,3500000
Male,Yes,1,Graduate,No,153800,142500,3000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,3142500,1571250
Female,No,0,Graduate,No,1000000,166600,22500000,360,1,Rural,N,FALSE,Graduate,Female  Graduate,16,,22666600,11333300
Male,Yes,0,Graduate,No,486000,83000,12500000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,12583000,6291500
Male,No,0,Graduate,No,627700,0,11800000,360,0,Rural,N,FALSE,Graduate,Male  Graduate,14,,11800000,5900000
Male,Yes,0,Graduate,Yes,257700,375000,15200000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,15575000,7787500
Male,No,0,Graduate,No,916600,0,24400000,360,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,24400000,12200000
Male,Yes,2,Not Graduate,No,228100,0,11300000,360,1,Rural,N,FALSE,Not Graduate,Male  Not Graduate,18,,11300000,5650000
Male,No,0,Graduate,No,325400,0,5000000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,5000000,2500000
Male,Yes,3+,Graduate,No,3999900,0,60000000,180,0,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,60000000,30000000
Male,Yes,1,Graduate,No,600000,0,16000000,360,,Rural,Y,FALSE,Graduate,Male  Graduate,14,,16000000,8000000
Male,Yes,1,Graduate,No,953800,0,18700000,360,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,18700000,9350000
Male,No,0,Graduate,,298000,208300,12000000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,12208300,6104150
Male,Yes,0,Graduate,No,458300,562500,25500000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,26062500,13031250
Male,Yes,0,Not Graduate,No,186300,104100,9800000,360,1,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,9904100,4952050
Male,Yes,0,Graduate,No,793300,0,27500000,360,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,27500000,13750000
Male,Yes,1,Graduate,No,308900,128000,12100000,360,0,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,12228000,6114000
Male,Yes,2,Graduate,No,416700,144700,15800000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,15944700,7972350
Male,Yes,0,Graduate,No,932300,0,7500000,180,1,Urban,Y,FALSE,Graduate,Male  Graduate,14,,7500000,3750000
Male,Yes,0,Graduate,No,370700,316600,18200000,,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,18516600,9258300
Female,Yes,0,Graduate,No,458300,0,11200000,360,1,Rural,N,FALSE,Graduate,Female  Graduate,16,,11200000,5600000
Male,Yes,0,Graduate,No,243900,333300,12900000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,13233300,6616650
Male,No,0,Graduate,No,223700,0,6300000,480,0,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,6300000,3150000
Male,Yes,2,Graduate,No,800000,0,20000000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,20000000,10000000
Male,Yes,0,Not Graduate,,182000,176900,9500000,360,1,Rural,Y,FALSE,Not Graduate,Male  Not Graduate,18,,9676900,4838450
,Yes,3+,Graduate,No,5176300,0,70000000,300,1,Urban,Y,FALSE,Graduate,  Graduate,10,,70000000,35000000
Male,Yes,3+,Not Graduate,No,352200,0,8100000,180,1,Rural,N,FALSE,Not Graduate,Male  Not Graduate,18,,8100000,4050000
Male,Yes,0,Graduate,No,570800,562500,18700000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,19262500,9631250
Male,Yes,0,Not Graduate,Yes,434400,73600,8700000,360,1,Semiurban,N,FALSE,Not Graduate,Male  Not Graduate,18,,8773600,4386800
Male,Yes,0,Graduate,No,349700,196400,11600000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,11796400,5898200
Male,Yes,2,Graduate,No,204500,161900,10100000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,10261900,5130950
Male,Yes,3+,Graduate,No,551600,1130000,49500000,360,0,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,50630000,25315000
Male,Yes,1,Graduate,No,375000,0,11600000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,11600000,5800000
Male,No,0,Not Graduate,No,233300,145100,10200000,480,0,Urban,N,FALSE,Not Graduate,Male  Not Graduate,18,,10345100,5172550
Male,Yes,1,Graduate,No,640000,725000,18000000,360,0,Urban,N,FALSE,Graduate,Male  Graduate,14,,18725000,9362500
Male,No,0,Graduate,No,191600,506300,6700000,360,,Rural,N,FALSE,Graduate,Male  Graduate,14,,7206300,3603150
Male,Yes,0,Graduate,No,460000,0,7300000,180,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,7300000,3650000
Male,Yes,1,Graduate,No,3384600,0,26000000,360,1,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,26000000,13000000
Female,Yes,0,Graduate,No,362500,0,10800000,360,1,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,10800000,5400000
Male,Yes,0,Graduate,Yes,3914700,475000,12000000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,12475000,6237500
Male,Yes,1,Graduate,Yes,217800,0,6600000,300,0,Rural,N,FALSE,Graduate,Male  Graduate,14,,6600000,3300000
Male,Yes,0,Graduate,No,238300,213800,5800000,360,,Rural,Y,FALSE,Graduate,Male  Graduate,14,,6013800,3006900
,Yes,0,Graduate,Yes,67400,529600,16800000,360,1,Rural,Y,FALSE,Graduate,  Graduate,10,,17329600,8664800
Male,Yes,0,Graduate,No,932800,0,18800000,180,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,18800000,9400000
Male,No,0,Not Graduate,No,488500,0,4800000,360,1,Rural,Y,FALSE,Not Graduate,Male  Not Graduate,18,,4800000,2400000
Male,No,0,Graduate,No,1200000,0,16400000,360,1,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,16400000,8200000
Male,Yes,0,Not Graduate,No,603300,0,16000000,360,1,Urban,N,FALSE,Not Graduate,Male  Not Graduate,18,,16000000,8000000
Male,No,0,Graduate,No,385800,0,7600000,360,1,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,7600000,3800000
Male,No,0,Graduate,No,419100,0,12000000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,12000000,6000000
Male,Yes,1,Graduate,No,312500,258300,17000000,360,1,Semiurban,N,FALSE,Graduate,Male  Graduate,14,,17258300,8629150
Male,No,0,Graduate,No,833300,375000,18700000,360,1,Rural,Y,FALSE,Graduate,Male  Graduate,14,,19075000,9537500
Female,No,0,Not Graduate,No,190700,236500,12000000,,1,Urban,Y,FALSE,Not Graduate,Female  Not Graduate,20,,12236500,6118250
Female,Yes,0,Graduate,No,341600,281600,11300000,360,,Semiurban,Y,FALSE,Graduate,Female  Graduate,16,,11581600,5790800
Male,No,0,Graduate,Yes,1100000,0,8300000,360,1,Urban,N,FALSE,Graduate,Male  Graduate,14,,8300000,4150000
Male,Yes,1,Not Graduate,No,260000,250000,9000000,360,1,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,9250000,4625000
Male,No,2,Graduate,No,492300,0,16600000,360,0,Semiurban,Y,FALSE,Graduate,Male  Graduate,14,,16600000,8300000
Male,Yes,3+,Not Graduate,No,399200,0,0,180,1,Urban,N,TRUE,Not Graduate,Male  Not Graduate,18,,0,0
Male,Yes,1,Not Graduate,No,350000,108300,13500000,360,1,Urban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,13608300,6804150
Male,Yes,2,Not Graduate,No,391700,0,12400000,360,1,Semiurban,Y,FALSE,Not Graduate,Male  Not Graduate,18,,12400000,6200000
Female,No,0,Not Graduate,No,440800,0,12000000,360,1,Semiurban,Y,FALSE,Not Graduate,Female  Not Graduate,20,,12000000,6000000
Female,No,0,Graduate,No,324400,0,8000000,360,1,Urban,Y,FALSE,Graduate,Female  Graduate,16,,8000000,4000000
