City,Customer type,Gender,Product line,Unit price,Total,payment,,filter,filter by city,filter by customer,filter by gender,filter by product line,filter by payment,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Sports and travel,88.63,279.1845,Ewallet,,,Naypyitaw,Normal,Male,Electronic accessories,30.61,192.843,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,47.38,198.996,Cash,,Naypyitaw,Member,Female,Fashion accessories,74.29,78.0045,Cash,,,,,,,,,,,,,,,,
Yangon,Member,Female,Home and lifestyle,52.59,441.756,Credit card,,,Naypyitaw,Member,Female,Sports and travel,24.74,77.931,Credit card,,,Naypyitaw,Member,Male,Fashion accessories,48.71,51.1455,Cash,,Naypyitaw,Member,Female,Food and beverages,71.39,374.7975,Credit card,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Fashion accessories,33.52,35.196,Cash,,,Naypyitaw,Normal,Male,Home and lifestyle,55.73,351.099,Ewallet,,,Naypyitaw,Member,Male,Electronic accessories,81.97,860.685,Cash,,Naypyitaw,Member,Female,Sports and travel,19.15,120.645,Credit card,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Fashion accessories,87.67,184.107,Credit card,,,Naypyitaw,Normal,Female,Health and beauty,33.47,70.287,Ewallet,,,Naypyitaw,Member,Female,Health and beauty,98.21,309.3615,Credit card,,Naypyitaw,Member,Female,Electronic accessories,66.65,629.8425,Credit card,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Food and beverages,88.36,463.89,Cash,,,Naypyitaw,Normal,Male,Food and beverages,89.48,939.54,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,80.79,763.4655,Credit card,,Naypyitaw,Member,Female,Home and lifestyle,28.53,299.565,Ewallet,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Health and beauty,24.89,235.2105,Cash,,,Naypyitaw,Normal,Male,Fashion accessories,62.12,652.26,Cash,,,Naypyitaw,Member,Male,Sports and travel,57.12,419.832,Credit card,,Naypyitaw,Member,Female,Fashion accessories,12.54,13.167,Cash,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Fashion accessories,94.13,494.1825,Credit card,,,Naypyitaw,Normal,Female,Electronic accessories,75.91,478.233,Cash,,,Naypyitaw,Member,Male,Home and lifestyle,63.91,536.844,Credit card,,Naypyitaw,Member,Female,Sports and travel,87.16,183.036,Credit card,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Sports and travel,78.07,737.7615,Cash,,,Naypyitaw,Normal,Female,Electronic accessories,41.65,437.325,Credit card,,,Naypyitaw,Member,Female,Food and beverages,68.54,575.736,Ewallet,,Naypyitaw,Member,Female,Fashion accessories,44.22,232.155,Credit card,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Sports and travel,83.78,703.752,Cash,,,Naypyitaw,Member,Male,Fashion accessories,49.04,463.428,Credit card,,,Naypyitaw,Member,Female,Sports and travel,89.8,942.9,Credit card,,Naypyitaw,Member,Female,Health and beauty,21.12,44.352,Cash,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Health and beauty,96.58,202.818,Credit card,,,Naypyitaw,Member,Female,Food and beverages,78.31,822.255,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,90.5,950.25,Cash,,Naypyitaw,Member,Female,Home and lifestyle,21.82,229.11,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Food and beverages,99.42,417.564,Ewallet,,,Naypyitaw,Normal,Female,Health and beauty,20.38,106.995,Cash,,,Naypyitaw,Member,Female,Health and beauty,68.6,720.3,Cash,,Naypyitaw,Member,Female,Electronic accessories,51.92,272.58,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Sports and travel,68.12,71.526,Ewallet,,,Naypyitaw,Normal,Female,Health and beauty,99.19,624.897,Credit card,,,Naypyitaw,Member,Female,Food and beverages,30.41,31.9305,Credit card,,Naypyitaw,Member,Female,Home and lifestyle,88.61,93.0405,Cash,,,,,,,,,,,,,,,,
Yangon,Member,Male,Sports and travel,62.62,328.755,Ewallet,,,Naypyitaw,Normal,Male,Food and beverages,19.25,161.7,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,34.56,254.016,Credit card,,Naypyitaw,Member,Female,Electronic accessories,78.13,820.365,Cash,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Electronic accessories,60.88,575.316,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,80.36,337.512,Credit card,,,Naypyitaw,Member,Male,Health and beauty,86.8,273.42,Ewallet,,Naypyitaw,Member,Female,Food and beverages,21.08,66.402,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Health and beauty,54.92,461.328,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,48.91,256.7775,Cash,,,Naypyitaw,Member,Male,Food and beverages,38.47,323.148,Cash,,Naypyitaw,Member,Female,Health and beauty,29.67,218.0745,Credit card,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Home and lifestyle,30.12,253.008,Cash,,,Naypyitaw,Normal,Female,Sports and travel,83.06,610.491,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,74.29,78.0045,Cash,,Naypyitaw,Member,Female,Home and lifestyle,89.25,749.7,Cash,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Home and lifestyle,86.72,91.056,Ewallet,,,Naypyitaw,Normal,Male,Fashion accessories,76.52,401.73,Cash,,,Naypyitaw,Member,Male,Health and beauty,43.7,91.77,Cash,,Naypyitaw,Member,Female,Fashion accessories,99.3,1042.65,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Home and lifestyle,56.11,117.831,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,47.38,198.996,Cash,,,Naypyitaw,Member,Female,Food and beverages,71.39,374.7975,Credit card,,Naypyitaw,Member,Female,Food and beverages,74.89,314.538,Ewallet,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Sports and travel,69.12,435.456,Cash,,,Naypyitaw,Normal,Female,Sports and travel,44.86,471.03,Ewallet,,,Naypyitaw,Member,Female,Sports and travel,19.15,120.645,Credit card,,Naypyitaw,Member,Female,Fashion accessories,54.07,510.9615,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Food and beverages,98.7,829.08,Cash,,,Naypyitaw,Normal,Male,Health and beauty,89.75,94.2375,Credit card,,,Naypyitaw,Member,Female,Electronic accessories,66.65,629.8425,Credit card,,Naypyitaw,Member,Female,Fashion accessories,80.48,253.512,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Health and beauty,15.37,32.277,Cash,,,Naypyitaw,Normal,Female,Electronic accessories,12.45,78.435,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,28.53,299.565,Ewallet,,Naypyitaw,Member,Female,Fashion accessories,97.79,718.7565,Ewallet,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Electronic accessories,93.96,394.632,Cash,,,Naypyitaw,Member,Male,Fashion accessories,48.71,51.1455,Cash,,,Naypyitaw,Member,Female,Fashion accessories,12.54,13.167,Cash,,Naypyitaw,Member,Female,Health and beauty,81.51,85.5855,Ewallet,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Health and beauty,56.69,535.7205,Credit card,,,Naypyitaw,Normal,Male,Fashion accessories,78.55,742.2975,Cash,,,Naypyitaw,Member,Female,Sports and travel,87.16,183.036,Credit card,,Naypyitaw,Member,Female,Food and beverages,38.6,121.59,Ewallet,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Food and beverages,20.01,189.0945,Ewallet,,,Naypyitaw,Normal,Female,Electronic accessories,23.07,218.0115,Cash,,,Naypyitaw,Member,Male,Electronic accessories,37.06,155.652,Ewallet,,Naypyitaw,Member,Female,Fashion accessories,97.21,1020.705,Credit card,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Electronic accessories,18.93,119.259,Credit card,,,Naypyitaw,Normal,Male,Fashion accessories,27.38,172.494,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,44.22,232.155,Credit card,,Naypyitaw,Member,Female,Electronic accessories,46.57,488.985,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Fashion accessories,82.63,867.615,Ewallet,,,Naypyitaw,Normal,Female,Food and beverages,33.98,321.111,Cash,,,Naypyitaw,Member,Male,Fashion accessories,93.2,195.72,Credit card,,Naypyitaw,Member,Female,Food and beverages,22.62,23.751,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Food and beverages,91.4,671.79,Cash,,,Naypyitaw,Member,Male,Electronic accessories,81.97,860.685,Cash,,,Naypyitaw,Member,Male,Fashion accessories,35.19,369.495,Credit card,,Naypyitaw,Member,Female,Sports and travel,54.55,572.775,Credit card,,,,,,,,,,,,,,,,
Yangon,Member,Female,Food and beverages,44.59,234.0975,Cash,,,Naypyitaw,Member,Female,Health and beauty,98.21,309.3615,Credit card,,,Naypyitaw,Member,Male,Electronic accessories,65.94,276.948,Credit card,,Naypyitaw,Member,Female,Health and beauty,37.15,273.0525,Credit card,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Fashion accessories,17.87,75.054,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,80.79,763.4655,Credit card,,,Naypyitaw,Member,Female,Health and beauty,21.12,44.352,Cash,,Naypyitaw,Member,Female,Electronic accessories,98.84,103.782,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Fashion accessories,15.43,16.2015,Credit card,,,Naypyitaw,Normal,Female,Fashion accessories,27.02,85.113,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,21.82,229.11,Cash,,Naypyitaw,Member,Female,Home and lifestyle,83.77,527.751,Ewallet,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Home and lifestyle,16.16,33.936,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,57.12,419.832,Credit card,,,Naypyitaw,Member,Male,Fashion accessories,70.99,745.395,Cash,,Naypyitaw,Member,Female,Sports and travel,36.98,388.29,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Electronic accessories,85.98,722.232,Cash,,,Naypyitaw,Member,Male,Home and lifestyle,63.91,536.844,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,74.86,78.603,Cash,,Naypyitaw,Member,Female,Home and lifestyle,12.12,127.26,Credit card,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,44.34,93.114,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,31.73,299.8485,Credit card,,,Naypyitaw,Member,Female,Electronic accessories,51.92,272.58,Cash,,Naypyitaw,Member,Female,Fashion accessories,31.9,33.495,Ewallet,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Health and beauty,89.6,752.64,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,68.54,575.736,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,88.61,93.0405,Cash,,Naypyitaw,Member,Female,Home and lifestyle,15.95,100.485,Credit card,,,,,,,,,,,,,,,,
Yangon,Member,Female,Home and lifestyle,72.35,759.675,Cash,,,Naypyitaw,Normal,Female,Health and beauty,81.3,512.19,Ewallet,,,Naypyitaw,Member,Male,Fashion accessories,69.33,145.593,Ewallet,,Naypyitaw,Member,Female,Fashion accessories,51.47,54.0435,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Electronic accessories,30.61,192.843,Cash,,,Naypyitaw,Normal,Male,Fashion accessories,90.22,284.193,Cash,,,Naypyitaw,Member,Female,Electronic accessories,78.13,820.365,Cash,,Naypyitaw,Member,Female,Home and lifestyle,83.17,523.971,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Sports and travel,24.74,77.931,Credit card,,,Naypyitaw,Member,Female,Sports and travel,89.8,942.9,Credit card,,,Naypyitaw,Member,Male,Food and beverages,99.37,208.677,Cash,,Naypyitaw,Member,Female,Food and beverages,87.48,551.124,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Home and lifestyle,55.73,351.099,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,90.5,950.25,Cash,,,Naypyitaw,Member,Female,Food and beverages,21.08,66.402,Cash,,Naypyitaw,Member,Female,Food and beverages,98.52,1034.46,Ewallet,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Sports and travel,55.07,520.4115,Ewallet,,,Naypyitaw,Member,Female,Health and beauty,68.6,720.3,Cash,,,Naypyitaw,Member,Male,Electronic accessories,74.79,392.6475,Cash,,Naypyitaw,Member,Female,Fashion accessories,92.98,195.258,Credit card,,,,,,,,,,,,,,,,
Yangon,Member,Male,Sports and travel,15.81,166.005,Credit card,,,Naypyitaw,Member,Female,Food and beverages,30.41,31.9305,Credit card,,,Naypyitaw,Member,Female,Health and beauty,29.67,218.0745,Credit card,,Naypyitaw,Member,Female,Home and lifestyle,24.24,178.164,Ewallet,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Health and beauty,75.74,318.108,Cash,,,Naypyitaw,Normal,Female,Health and beauty,46.26,291.438,Credit card,,,Naypyitaw,Member,Male,Health and beauty,44.07,185.094,Ewallet,,Naypyitaw,Member,Female,Fashion accessories,51.89,381.3915,Cash,,,,,,,,,,,,,,,,
Yangon,Member,Male,Health and beauty,15.87,166.635,Cash,,,Naypyitaw,Normal,Male,Health and beauty,66.14,277.788,Credit card,,,Naypyitaw,Member,Male,Food and beverages,94.26,395.892,Cash,,Naypyitaw,Member,Female,Food and beverages,49.79,209.118,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Health and beauty,33.47,70.287,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,34.56,254.016,Credit card,,,Naypyitaw,Member,Male,Sports and travel,14.7,77.175,Ewallet,,Naypyitaw,Member,Female,Food and beverages,98.97,935.2665,Cash,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Fashion accessories,97.61,614.943,Ewallet,,,Naypyitaw,Normal,Female,Food and beverages,16.48,103.824,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,89.25,749.7,Cash,,Naypyitaw,Member,Female,Fashion accessories,43.46,273.798,Ewallet,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Sports and travel,78.77,827.085,Cash,,,Naypyitaw,Normal,Female,Sports and travel,80.97,680.148,Cash,,,Naypyitaw,Member,Female,Fashion accessories,99.3,1042.65,Credit card,,Naypyitaw,Member,Female,Electronic accessories,88.55,743.82,Ewallet,,,,,,,,,,,,,,,,
Yangon,Member,Female,Health and beauty,18.33,19.2465,Cash,,,Naypyitaw,Normal,Female,Food and beverages,43.18,362.712,Credit card,,,Naypyitaw,Member,Male,Fashion accessories,96.98,407.316,Ewallet,,Naypyitaw,Member,Female,Food and beverages,72.52,609.168,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Food and beverages,89.48,939.54,Credit card,,,Naypyitaw,Normal,Male,Sports and travel,76.4,160.44,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,74.89,314.538,Ewallet,,Naypyitaw,Member,Female,Sports and travel,15.49,32.529,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Fashion accessories,62.12,652.26,Cash,,,Naypyitaw,Normal,Male,Home and lifestyle,95.58,1003.59,Cash,,,Naypyitaw,Member,Female,Fashion accessories,54.07,510.9615,Ewallet,,Naypyitaw,Member,Female,Food and beverages,87.1,914.55,Credit card,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Food and beverages,48.52,152.838,Ewallet,,,Naypyitaw,Normal,Male,Electronic accessories,20.85,175.14,Cash,,,Naypyitaw,Member,Female,Fashion accessories,80.48,253.512,Cash,,Naypyitaw,Member,Female,Health and beauty,47.71,300.573,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Electronic accessories,75.91,478.233,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,22.51,165.4485,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,13.98,14.679,Ewallet,,Naypyitaw,Member,Female,Sports and travel,70.19,663.2955,Cash,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Home and lifestyle,74.67,705.6315,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,86.8,273.42,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,97.79,718.7565,Ewallet,,Naypyitaw,Member,Female,Fashion accessories,73.38,539.343,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Electronic accessories,41.65,437.325,Credit card,,,Naypyitaw,Normal,Male,Fashion accessories,64.26,472.311,Cash,,,Naypyitaw,Member,Female,Health and beauty,81.51,85.5855,Ewallet,,Naypyitaw,Member,Female,Home and lifestyle,75.53,317.226,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Fashion accessories,49.04,463.428,Credit card,,,Naypyitaw,Member,Male,Food and beverages,38.47,323.148,Cash,,,Naypyitaw,Member,Female,Food and beverages,38.6,121.59,Ewallet,,Naypyitaw,Member,Female,Sports and travel,90.63,856.4535,Cash,,,,,,,,,,,,,,,,
Yangon,Member,Female,Fashion accessories,20.01,189.0945,Credit card,,,Naypyitaw,Normal,Male,Health and beauty,34.31,288.204,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,97.21,1020.705,Credit card,,Naypyitaw,Member,Female,Food and beverages,36.77,270.2595,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Food and beverages,78.31,822.255,Ewallet,,,Naypyitaw,Normal,Female,Home and lifestyle,69.81,293.202,Credit card,,,Naypyitaw,Member,Male,Sports and travel,82.93,348.306,Ewallet,,Naypyitaw,Member,Female,Health and beauty,28.5,239.4,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Health and beauty,20.38,106.995,Cash,,,Naypyitaw,Normal,Female,Food and beverages,87.8,829.71,Cash,,,Naypyitaw,Member,Male,Food and beverages,17.04,71.568,Ewallet,,Naypyitaw,Member,Female,Home and lifestyle,81.2,596.82,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Health and beauty,99.19,624.897,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,74.29,78.0045,Cash,,,Naypyitaw,Member,Male,Food and beverages,17.44,91.56,Cash,,Naypyitaw,Member,Female,Sports and travel,31.67,266.028,Credit card,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Food and beverages,96.68,304.542,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,43.7,91.77,Cash,,,Naypyitaw,Member,Male,Food and beverages,27.66,290.43,Credit card,,Naypyitaw,Member,Female,Food and beverages,38.42,40.341,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Food and beverages,19.25,161.7,Ewallet,,,Naypyitaw,Normal,Male,Health and beauty,41.5,174.3,Credit card,,,Naypyitaw,Member,Female,Electronic accessories,46.57,488.985,Cash,,Naypyitaw,Member,Female,Home and lifestyle,10.53,55.2825,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Food and beverages,80.36,337.512,Credit card,,,Naypyitaw,Member,Female,Food and beverages,71.39,374.7975,Credit card,,,Naypyitaw,Member,Female,Food and beverages,22.62,23.751,Cash,,Naypyitaw,Member,Female,Fashion accessories,84.87,267.3405,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Sports and travel,48.91,256.7775,Cash,,,Naypyitaw,Member,Female,Sports and travel,19.15,120.645,Credit card,,,Naypyitaw,Member,Female,Sports and travel,54.55,572.775,Credit card,,Naypyitaw,Member,Female,Health and beauty,85.87,631.1445,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Sports and travel,83.06,610.491,Ewallet,,,Naypyitaw,Normal,Male,Electronic accessories,61.41,451.3635,Cash,,,Naypyitaw,Member,Female,Health and beauty,37.15,273.0525,Credit card,,Naypyitaw,Member,Female,Sports and travel,67.99,499.7265,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Fashion accessories,76.52,401.73,Cash,,,Naypyitaw,Member,Female,Electronic accessories,66.65,629.8425,Credit card,,,Naypyitaw,Member,Female,Electronic accessories,98.84,103.782,Cash,,Naypyitaw,Member,Female,Health and beauty,10.16,53.34,Ewallet,,,,,,,,,,,,,,,,
